2025-10-03 19:58:17 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 19:58:17 | INFO    | Main | {"timestamp": "2025-10-03T19:58:17.121701", "event": "SESSION_START", "data": {"session_id": "20251003-195817"}}
2025-10-03 19:58:17 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 19:58:37 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T19:58:37.973408", "event": "BUTTON_CLICK", "data": {"action": "OPEN_ZIP_SETTINGS"}}
2025-10-03 19:59:07 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T19:59:07.232702", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 19:59:08 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T19:59:08.973194", "event": "CONFIG_CHANGE", "data": {"key": "log_mode", "old": "INFO", "new": "ERROR"}}
2025-10-03 20:00:53 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 20:00:53 | INFO    | Main | {"timestamp": "2025-10-03T20:00:53.468439", "event": "SESSION_START", "data": {"session_id": "20251003-200053"}}
2025-10-03 20:00:53 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 20:01:02 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:01:02.791379", "event": "BUTTON_CLICK", "data": {"action": "OPEN_ZIP_SETTINGS"}}
2025-10-03 20:01:08 | INFO    | Main | {"timestamp": "2025-10-03T20:01:08.318329", "event": "SESSION_END", "data": {"session_id": "20251003-200053"}}
2025-10-03 20:01:24 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 20:01:24 | INFO    | Main | {"timestamp": "2025-10-03T20:01:24.101394", "event": "SESSION_START", "data": {"session_id": "20251003-200124"}}
2025-10-03 20:01:24 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 20:01:35 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:01:35.171179", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 20:01:36 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:01:36.393769", "event": "CONFIG_CHANGE", "data": {"key": "log_mode", "old": "INFO", "new": "ERROR"}}
2025-10-03 20:06:55 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 20:06:55 | INFO    | Main | {"timestamp": "2025-10-03T20:06:55.685265", "event": "SESSION_START", "data": {"session_id": "20251003-200655"}}
2025-10-03 20:06:56 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 20:08:21 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 20:08:21 | INFO    | Main | {"timestamp": "2025-10-03T20:08:21.872925", "event": "SESSION_START", "data": {"session_id": "20251003-200821"}}
2025-10-03 20:08:22 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 20:08:32 | INFO    | Main | {"timestamp": "2025-10-03T20:08:32.407869", "event": "SESSION_END", "data": {"session_id": "20251003-200821"}}
2025-10-03 20:08:38 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 20:08:38 | INFO    | Main | {"timestamp": "2025-10-03T20:08:38.106202", "event": "SESSION_START", "data": {"session_id": "20251003-200838"}}
2025-10-03 20:08:38 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 20:11:40 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 20:11:40 | INFO    | Main | {"timestamp": "2025-10-03T20:11:40.588696", "event": "SESSION_START", "data": {"session_id": "20251003-201140"}}
2025-10-03 20:11:40 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 20:19:51 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:51.831632", "event": "CONFIG_CHANGE", "data": {"key": "tts_service", "old": "", "new": "google"}}
2025-10-03 20:19:52 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:52.804885", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:19:52 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:52.817868", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:19:53 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:19:53.147685", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 6720, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:19:53 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:19:53.425381", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.2776963710784912, "input_bytes": 6720, "output_bytes": 3788}}
2025-10-03 20:19:55 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:55.474967", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:19:55 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:55.912128", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:19:55 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:55.925607", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:19:56 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:19:56.221682", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 6720, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:19:56 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:19:56.488402", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.2667205333709717, "input_bytes": 6720, "output_bytes": 3788}}
2025-10-03 20:19:58 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:58.500663", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:19:58 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:58.868307", "event": "CONFIG_CHANGE", "data": {"key": "tts_service", "old": "google", "new": "edge"}}
2025-10-03 20:19:59 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:59.313775", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:19:59 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:59.327818", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:20:00 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:00.394552", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 8784, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:20:00 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:00.661889", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.2673377990722656, "input_bytes": 8784, "output_bytes": 6284}}
2025-10-03 20:20:03 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:03.284546", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:06 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:06.664818", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:06 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:06.683026", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:20:07 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:07.853993", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 8496, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:20:08 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:08.118617", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.26462435722351074, "input_bytes": 8496, "output_bytes": 6092}}
2025-10-03 20:20:10 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:10.690952", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:12 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:12.260855", "event": "CONFIG_CHANGE", "data": {"key": "tts_lang", "old": "en", "new": "tr"}}
2025-10-03 20:20:13 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:13.134432", "event": "CONFIG_CHANGE", "data": {"key": "tts_lang", "old": "tr", "new": "en"}}
2025-10-03 20:20:14 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:14.131134", "event": "CONFIG_CHANGE", "data": {"key": "tts_voice", "old": "female", "new": "male"}}
2025-10-03 20:20:14 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:14.803426", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:14 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:14.817559", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:20:15 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:15.551457", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 8784, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:20:15 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:15.851810", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.3003532886505127, "input_bytes": 8784, "output_bytes": 6284}}
2025-10-03 20:20:18 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:18.474914", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:19 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:19.867977", "event": "CONFIG_CHANGE", "data": {"key": "tts_lang", "old": "en", "new": "tr"}}
