2025-10-09 16:25:12 | ERROR   | LangManager | {"timestamp": "2025-10-09T16:25:12.028725", "event": "ERROR", "data": {"action": "LANG_LOAD_FAIL", "error": "[WinError 3] The system cannot find the path specified: 'T:\\\\TunaRP\\\\Zero to Dev - Developer GUI\\\\language_manager\\\\langs'"}}
2025-10-09 16:25:12 | ERROR   | Main | {"timestamp": "2025-10-09T16:25:12.050807", "event": "ERROR", "data": {"action": "APP_CRASH", "error": "name 'lang_manager' is not defined"}}
2025-10-09 16:25:33 | ERROR   | LangManager | {"timestamp": "2025-10-09T16:25:33.199285", "event": "ERROR", "data": {"action": "LANG_LOAD_FAIL", "error": "[WinError 3] The system cannot find the path specified: 'T:\\\\TunaRP\\\\Zero to Dev - Developer GUI\\\\language_manager\\\\langs'"}}
2025-10-11 01:58:52 | ERROR   | LangManager | {"timestamp": "2025-10-11T01:58:52.540132", "event": "ERROR", "data": {"action": "LANG_FILE_INVALID", "error": "english.json: Expecting property name enclosed in double quotes: line 31 column 1 (char 1084)"}}
2025-10-11 01:58:52 | ERROR   | LangManager | {"timestamp": "2025-10-11T01:58:52.554632", "event": "ERROR", "data": {"action": "LANG_FILE_INVALID", "error": "german.json: Expecting property name enclosed in double quotes: line 31 column 1 (char 1187)"}}
2025-10-11 01:58:52 | ERROR   | LangManager | {"timestamp": "2025-10-11T01:58:52.568138", "event": "ERROR", "data": {"action": "LANG_FILE_INVALID", "error": "turkish.json: Expecting property name enclosed in double quotes: line 31 column 1 (char 1129)"}}
2025-10-12 00:41:59 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T00:41:59.523473", "event": "ERROR", "data": {"action": "MARKUP_FAIL", "error": "TTS failed after 1 attempts: No text to send to TTS API"}}
2025-10-12 00:44:49 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T00:44:49.825841", "event": "ERROR", "data": {"action": "MARKUP_FAIL", "error": "TTS failed after 1 attempts: No text to send to TTS API"}}
2025-10-12 00:45:41 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T00:45:41.922388", "event": "ERROR", "data": {"action": "MARKUP_FAIL", "error": "TTS failed after 1 attempts: No text to send to TTS API"}}
2025-10-12 00:47:09 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T00:47:09.305473", "event": "ERROR", "data": {"action": "MARKUP_FAIL", "error": "TTS failed after 1 attempts: No text to send to TTS API"}}
2025-10-12 00:58:22 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T00:58:22.909254", "event": "ERROR", "data": {"action": "CONVERT_FAIL", "error": "Unknown TTS service: "}}
2025-10-12 01:03:41 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T01:03:41.580131", "event": "ERROR", "data": {"action": "CONVERT_FAIL", "error": "Unknown TTS service: "}}
2025-10-12 01:05:30 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T01:05:30.689945", "event": "ERROR", "data": {"action": "CONVERT_FAIL", "error": "TTS failed after 1 attempts: No text to send to TTS API"}}
2025-10-12 01:05:45 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T01:05:45.614806", "event": "ERROR", "data": {"action": "CONVERT_FAIL", "error": "'NoneType' object has no attribute 'split'"}}
2025-10-12 01:06:15 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T01:06:15.719625", "event": "ERROR", "data": {"action": "CONVERT_FAIL", "error": "'NoneType' object has no attribute 'split'"}}
2025-10-12 01:13:39 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T01:13:39.223880", "event": "ERROR", "data": {"action": "CONVERT_FAIL", "error": "TTS failed after 1 attempts: No text to send to TTS API"}}
2025-10-12 01:13:53 | ERROR   | TTSMenuApp | {"timestamp": "2025-10-12T01:13:53.495818", "event": "ERROR", "data": {"action": "CONVERT_FAIL", "error": "TTS failed after 1 attempts: No text to send to TTS API"}}
